CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
GA,22/02/2020,0,0,0,0,0
IB,22/02/2020,0,0,0,0,0
MC,22/02/2020,0,0,0,0,0
MD,22/02/2020,0,0,0,0,0
ML,22/02/2020,0,0,0,0,0
NC,22/02/2020,0,0,0,0,0
PV,22/02/2020,0,0,0,0,0
RI,22/02/2020,0,0,0,0,0
VC,22/02/2020,0,33,1,0,0
AN,23/02/2020,0,0,0,0,0
AR,23/02/2020,0,0,0,0,0
AS,23/02/2020,0,0,0,0,0
CB,23/02/2020,0,0,0,0,0
CE,23/02/2020,0,0,0,0,0
CL,23/02/2020,0,0,0,0,0
CM,23/02/2020,0,0,0,0,0
CN,23/02/2020,0,0,0,0,0
CT,23/02/2020,0,0,0,0,0
EX,23/02/2020,0,0,0,0,0
GA,23/02/2020,0,0,0,0,0
IB,23/02/2020,0,0,0,0,0
MC,23/02/2020,0,0,0,0,0
MD,23/02/2020,0,0,0,0,0
ML,23/02/2020,0,0,0,0,0
NC,23/02/2020,0,0,0,0,0
PV,23/02/2020,0,0,0,0,0
RI,23/02/2020,0,0,0,0,0
VC,23/02/2020,0,38,2,0,0
AN,24/02/2020,0,0,0,0,0
AR,24/02/2020,0,0,0,0,0
AS,24/02/2020,0,0,0,0,0
CB,24/02/2020,0,0,0,0,0
CE,24/02/2020,0,0,0,0,0
CL,24/02/2020,0,0,0,0,0
CM,24/02/2020,0,0,0,0,0
CN,24/02/2020,1,0,0,0,0
CT,24/02/2020,0,0,0,0,0
EX,24/02/2020,0,0,0,0,0
GA,24/02/2020,0,0,0,0,0
IB,24/02/2020,0,0,0,0,0
MC,24/02/2020,0,0,0,0,0
MD,24/02/2020,0,0,0,0,0
ML,24/02/2020,0,0,0,0,0
NC,24/02/2020,0,0,0,0,0
PV,24/02/2020,0,0,0,0,0
RI,24/02/2020,0,0,0,0,0
VC,24/02/2020,0,49,2,0,0
AN,25/02/2020,0,0,0,0,0
AR,25/02/2020,0,0,0,0,0
AS,25/02/2020,0,0,0,0,0
CB,25/02/2020,0,0,0,0,0
CE,25/02/2020,0,0,0,0,0
CL,25/02/2020,0,0,0,0,0
CM,25/02/2020,0,0,0,0,0
CN,25/02/2020,3,0,0,0,0
CT,25/02/2020,1,0,0,0,0
EX,25/02/2020,0,0,0,0,0
GA,25/02/2020,0,0,0,0,0
IB,25/02/2020,0,0,0,0,0
MC,25/02/2020,0,0,0,0,0
